Mirian Castilla 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1        64        60       1.07         0
2020      2        58        68       0.85         1
2021      1        98        66       1.48         0
2021      2       121        86       1.41         0
2022      1       111       110       1.01         0
2022      2       112       114       0.98         1
2023      1       201       139       1.45         0
2023      2       181       132       1.37         0
2024      1       197       130       1.52         0
2024      2        58        61       0.95         1
2025      1       156       132       1.18         0
2025      2        57        43       1.33         0
2026      1       113        97       1.16         0
2026      2        24        11       2.18         0
2027      1       186       155       1.20         0
2027      2       178       122       1.46         0
2028      1        57        47       1.21         0
2028      2        70        54       1.30         0
2029      1        13        22       0.59         1
2029      2        88        73       1.21         0
2030      1       108        91       1.19         0
2030      2        30        16       1.88         0
2031      1       103       128       0.80         1

Humberto Montiel 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       112        83       1.35         0
2020      2        29        20       1.45         0
2021      1       146       109       1.34         0
2021      2       132       126       1.05         0
2022      1        15        13       1.15         0
2022      2        68        41       1.66         0
2023      1       120       113       1.06         0
2023      2        21        15       1.40         0
2024      1        34        30       1.13         0
2024      2       104       117       0.89         1
2025      1       176       134       1.31         0
2025      2        80        43       1.86         0
2026      1        50        30       1.67         0
2026      2       131       128       1.02         0
2027      1       168       146       1.15         0
2027      2        60        29       2.07         0
2028      1        10         5       2.00         0
2028      2       162       133       1.22         0
2029      1       208       137       1.52         0
2029      2       179       147       1.22         0
2030      1        29        27       1.07         0
2030      2       138       138       1.00         0
2031      1        58        32       1.81         0

Noemi Casanova 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1        33        25       1.32         0
2020      2        69        77       0.90         1
2021      1        33        18       1.83         0
2021      2       198       147       1.35         0
2022      1       110        62       1.77         0
2022      2        98       125       0.78         1
2023      1       141        84       1.68         0
2023      2        60        72       0.83         1
2024      1        78        72       1.08         0
2024      2       105        92       1.14         0
2025      1        22        18       1.22         0
2025      2       121       116       1.04         0
2026      1        93        64       1.45         0
2026      2         0         5       0.00         1
2027      1        60        60       1.00         0
2027      2        91        66       1.38         0
2028      1        46        48       0.96         1
2028      2       171       140       1.22         0
2029      1        55        51       1.08         0
2029      2        42        35       1.20         0
2030      1        36        46       0.78         1
2030      2        27        25       1.08         0
2031      1        46        37       1.24         0

Roberto Suares 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       124       121       1.02         0
2020      2       230       145       1.59         0
2021      1        80        60       1.33         0
2021      2       124       125       0.99         1
2022      1       135       116       1.16         0
2022      2       116        94       1.23         0
2023      1       157       122       1.29         0
2023      2       190       129       1.47         0
2024      1        37        25       1.48         0
2024      2        71        52       1.37         0
2025      1         0         4       0.00         1
2025      2        53        50       1.06         0
2026      1        69        33       2.09         0
2026      2        56        38       1.47         0
2027      1        81        95       0.85         1
2027      2       160       137       1.17         0
2028      1        77        49       1.57         0
2028      2        94        71       1.32         0
2029      1       164       115       1.43         0
2029      2       163       111       1.47         0
2030      1        78        88       0.89         1
2030      2         9        33       0.27         2
2031      1       152       136       1.12         0

Mihai Da-Silva 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       185       132       1.40         0
2020      2       167       154       1.08         0
2021      1         3         3       1.00         0
2021      2       173       107       1.62         0
2022      1       121       118       1.03         0
2022      2        62        48       1.29         0
2023      1        18        12       1.50         0
2023      2       139       132       1.05         0
2024      1       116       107       1.08         0
2024      2        88        72       1.22         0
2025      1        18        11       1.64         0
2025      2        21        25       0.84         1
2026      1        62        36       1.72         0
2026      2        28        18       1.56         0
2027      1       150       119       1.26         0
2027      2       183       154       1.19         0
2028      1       145       112       1.29         0
2028      2       146       121       1.21         0
2029      1        21        11       1.91         0
2029      2        55        62       0.89         1
2030      1       143       108       1.32         0
2030      2       219       140       1.56         0
2031      1        83        59       1.41         0

Joaquin de La Cruz 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       148       100       1.48         0
2020      2        60        48       1.25         0
2021      1       119        80       1.49         0
2021      2        39        34       1.15         0
2022      1        67        53       1.26         0
2022      2       105        93       1.13         0
2023      1       130       124       1.05         0
2023      2       127       118       1.08         0
2024      1        66        46       1.43         0
2024      2         4         6       0.67         1
2025      1       102       100       1.02         0
2025      2        71        41       1.73         0
2026      1       104        87       1.20         0
2026      2         8        11       0.73         1
2027      1        92       108       0.85         2
2027      2       135       103       1.31         0
2028      1       182       145       1.26         0
2028      2        10        15       0.67         1
2029      1       170        95       1.79         0
2029      2        90        53       1.70         0
2030      1       173       131       1.32         0
2030      2        59        65       0.91         1
2031      1        41        29       1.41         0

Marcela Elvira 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1        43        54       0.80         1
2020      2       135       103       1.31         0
2021      1       145       104       1.39         0
2021      2        34        35       0.97         1
2022      1       178       146       1.22         0
2022      2       150       126       1.19         0
2023      1        24        43       0.56         1
2023      2        22        21       1.05         0
2024      1        66        73       0.90         1
2024      2       173       148       1.17         0
2025      1        81        89       0.91         1
2025      2       132       115       1.15         0
2026      1        83        87       0.95         1
2026      2         0         4       0.00         2
2027      1       164       121       1.36         0
2027      2        85        83       1.02         0
2028      1        43        72       0.60         1
2028      2        45        29       1.55         0
2029      1        32        50       0.64         1
2029      2        77        65       1.18         0
2030      1        13        16       0.81         1
2030      2       188       146       1.29         0
2031      1       127       113       1.12         0

Filomena Arnau 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1       160       150       1.07         0
2020      2        57        54       1.06         0
2021      1        65        44       1.48         0
2021      2        95        55       1.73         0
2022      1        62        43       1.44         0
2022      2       179       134       1.34         0
2023      1       161       153       1.05         0
2023      2       170       126       1.35         0
2024      1       179       151       1.19         0
2024      2       182       130       1.40         0
2025      1        68        63       1.08         0
2025      2       139       112       1.24         0
2026      1       180       146       1.23         0
2026      2       119       113       1.05         0
2027      1       151       126       1.20         0
2027      2       153        97       1.58         0
2028      1       139       101       1.38         0
2028      2       177       130       1.36         0
2029      1        18        20       0.90         1
2029      2        79        81       0.98         2
2030      1        68        49       1.39         0
2030      2        46        61       0.75         1
2031      1       162       104       1.56         0

Concepcion Marin 
      Semestre   Puntos   Total/Cr   Indice   Condicional
2020      1        66        52       1.27         0
2020      2       118       116       1.02         0
2021      1        53        45       1.18         0
2021      2        73        92       0.79         1
